Namespace(beam=5, cpu=False, criterion='cross_entropy', data=['PATH_YOUR_OUTPUT/preprocessed_iwslt14/iwslt14deen'], dataset_impl=None, decoding_iterations=1, decoding_strategy='mask_predict', dehyphenate=False, diverse_beam_groups=-1, diverse_beam_strength=0.5, dynamic_length=False, force_anneal=None, fp16=False, fp16_init_scale=128, fp16_scale_tolerance=0.0, fp16_scale_window=None, gen_subset='test', gold_target_len=False, left_pad_source='True', left_pad_target='False', length_beam=5, lenpen=1, log_format=None, log_interval=1000, lr_scheduler='fixed', lr_shrink=0.1, mask_range=False, match_source_len=False, max_len_a=0, max_len_b=200, max_sentences=20, max_source_positions=1024, max_target_positions=1024, max_tokens=None, memory_efficient_fp16=False, min_len=1, min_loss_scale=0.0001, model_overrides='{}', momentum=0.99, nbest=1, no_beamable_mm=False, no_early_stop=False, no_progress_bar=False, no_repeat_ngram_size=0, num_shards=1, num_workers=0, optimizer='nag', path='DE2EN/checkpoint_best.pt', prefix_size=0, print_alignment=False, quiet=False, raw_text=False, remove_bpe='@@ ', replace_unk=None, required_batch_size_multiple=8, results_path=None, sacrebleu=False, sampling=False, sampling_topk=-1, sampling_topp=-1.0, score_reference=False, seed=1, self_target=False, shard_id=0, skip_invalid_size_inputs_valid_test=False, source_lang=None, target_lang=None, task='translation_self', tbmf_wrapper=False, temperature=1.0, tensorboard_logdir='', threshold_loss_scale=None, unkpen=0, unnormalized=False, upsample_primary=1, user_dir=None, warmup_updates=0, weight_decay=0.0)
| [de] dictionary: 8848 types
| [en] dictionary: 6640 types
| PATH_YOUR_OUTPUT/preprocessed_iwslt14/iwslt14deen test 6750 examples
| ['PATH_YOUR_OUTPUT/preprocessed_iwslt14/iwslt14deen'] test 6750 examples
| loading model(s) from DE2EN/checkpoint_best.pt
S-1267	warum ?
H-1570	in fact , the notes are very vague and inaccurate .

S-2080	ich verstand , dass genau dies das wesen der kunst ist .
T-2080	and i understood that this was the very essence of art .
H-2080	i understood that this is the nature of art .

S-2091	also ich habe in meinem leben viele fische gekannt .
T-2091	so , i &apos;ve known a lot of fish in my life .
H-2091	so i knew a lot of a lot of fish in my life .

S-2253	aber für viele leute ist das ein bisschen zu radikal .
T-2253	but for a lot people , that &apos;s a bit too radical .
H-2253	but for a lot of people , that &apos;s a little bit too radical .

S-2298	mit pivot können sie eintauchen in ein jahrzehnt .
T-2298	with pivot , you can drill into a decade .
H-2298	with pivot , you can dive in in a decade .

S-2481	und ich sage : &quot; schränke dich nicht selbst ein .
T-2481	and i say , &quot; don &apos;t put limitations on yourself .
H-2481	and i say , &quot; don &apos;t give you yourself .

S-2678	bg : ein energiedurchbruch ist das allerwichtigste .
T-2678	bg : an energy breakthrough is the most important thing .
H-2678	bg : an energy breakthrough is the most important one .

S-3052	ich nehme diese hand weg . und hier ist das messer .
T-3052	i take this hand away . you give the knife out .
H-3052	i &apos;ll take that hand away . and here &apos;s the knife .

S-3184	der größte unterschied zwischen ihnen ist der umgang mit zeit .
T-3184	the biggest difference between them is in the handling of time .
H-3184	the biggest difference between them is over time .

S-3289	derzeit verbringen wir 3 milliarden stunden pro woche mit online-spielen .
T-3289	right now we spend three billion hours a week playing online games .
H-3289	we we spend three billion hours a week with online games .

S-3402	edward castronova ist ein volkswissenschaftler .
T-3402	there &apos;s an economist named edward castronova .
H-3402	edward castronova is a volksist .

S-3489	also sage ich , lasst die weltverändernden spiele beginnen !
T-3489	so , i say : let the world-changing games begin .
H-3489	so i say , let &apos;s start the world-changing games .

S-3643	ist es für andere geltend oder betrifft es auch uns ?
T-3643	does it apply to others , or does it apply to us ?
H-3643	is it yellow for others , or is is it true about us ?

S-3783	er stahl jedes fünkchen hoffnung aus meinem bewusstsein .
T-3783	he robbed every ounce of hope from my being .
H-3783	he &apos;s every fifth hope from my consciousness .

S-3832	nun , schimpansen sind bekannt für ihre aggressivität .
T-3832	now , chimpanzees are well-known for their aggression .
H-3832	well , chimpanzees are well known for their aggressive .

S-4020	wie beurteilt man menschen aufgrund ihrer charaktereigenschaften ?
T-4020	how do you judge people based on the content of character ?
H-4020	how do you judge people because of their characteristics ?

S-4155	frankreich macht ein tor . italien macht ein tor .
T-4155	france scores . italy scores .
H-4155	france makes a gate . italy makes a gate .

S-4168	nun , heutzutage wissen wir alles darüber woher unsere sachen kommen .
T-4168	well today , we know everything about where our objects come from .
H-4168	well , today , we all everything about where our things come from .

S-4193	nun , wir haben das bürgermeister belloch vorgestellt .
T-4193	well , we presented this to mayor bel<<unk>> .
H-4193	well , we introduced the mayor hole .

S-4459	wie würden sie ihre beziehungen ändern und die negative energie darin ?
T-4459	how would you change your relationships and the negative energy in them ?
H-4459	how would you change your relationships , and the negative energy in it ?

S-4496	wir sprechen hier von – ungefähr 15.000 zeilen code .
T-4496	we are talking about -- around about 15,000 lines of code .
H-4496	we &apos;re talking about -- about 15,000 lines of code .

S-4503	nun , in diesem gebiet gibt es nicht mehrere tausend ziele .
T-4503	now you don &apos;t find several thousand targets in that area .
H-4503	well , in this area , there are not several thousand goals .

S-4668	und der film heißt &quot; the <unk> <unk> ever <unk> . &quot;
T-4668	and the movie is called &quot; the greatest movie ever sold . &quot;
H-4668	and the film is called &quot; the ever . &quot;

S-4675	und dann bieten wir einen dieser großartigen düfte an .
T-4675	so we &apos;ll offer one of these fabulous scents .
H-4675	and then we offer one of these great things .

S-4788	es gibt ihn noch nicht einmal online . kein streaming .
T-4788	it &apos;s not even online . it &apos;s not even streaming .
H-4788	it &apos;s &apos;t even have online . no streams .

S-5037	auch städtedesigner und -bauer sind sehr interessiert .
T-5037	there &apos;s designers and builders of cities who are very interested .
H-5037	urban designers and construction workers are very interested .

S-5272	sie ist ein puzzle , das noch zusammengesetzt wird .
T-5272	it is a jigsaw puzzle still being put together .
H-5272	it &apos;s a puzzle that &apos;s still being put together .

S-5330	ich wusste nicht , wie man das besteck verwendet .
T-5330	i didn &apos;t know how to use the cutlery .
H-5330	i didn &apos;t know how to use the bribe .

S-5365	&quot; geht nicht &quot; erwies sich als unwahr .
T-5365	&quot; it can &apos;t be done &quot; was shown to be wrong .
H-5365	&quot; don &apos;t go , &quot; it &apos;s wrong .

S-5577	aber das war nicht das ende der beutelratten .
T-5577	but that wasn &apos;t the end of the opossums .
H-5577	but that wasn not the end of the thylacine rats .

S-5593	das ist großartig . hier trifft das digitale das physische .
T-5593	so this is great . this is the digital meeting the physical .
H-5593	that is great . this is where the digital is of the physical .

S-5650	dies ist im wesentlichen das , worüber ich hier sprechen werde .
T-5650	and that &apos;s basically what i &apos;m going to be talking about .
H-5650	this is basically what i &apos;m going to be going to talk about here .

S-5725	die zellengemeinschaften begannen wieder informationen zu abstrahieren .
T-5725	these communities of cells , again , began to abstract information .
H-5725	the cell communities started to abstract information .

S-5730	und dies war das gehirn und das nervensystem dieser gemeinschaften .
T-5730	and that was the brains and the nervous system of those communities .
H-5730	and this was the brain , and the nervous system of these communities .

S-5811	aber ich glaube wirklich , dass nach uns noch etwas kommt .
T-5811	but i think that there really is something coming along after us .
H-5811	but i really think that after else , something comes .

S-6240	vor 30 jahren hätte sich dies lächerlich angehört .
T-6240	30 years ago that would have sounded ludicrous .
H-6240	30 years ago , this would have listened to ridiculous .

S-6540	jetzt steht er auf der roten liste gefährdeter arten .
T-6540	now the fish is on the iucn red list .
H-6540	now he &apos;s on the red list of dangerous species .

S-6566	wir hatten keine worte für das , was wir dort fingen .
T-6566	and what we caught , we didn &apos;t have words for it .
H-6566	we didn &apos;t have words for what we started there .

S-6649	in der zukunft werden sich die meisten verbrechen online abspielen .
T-6649	in the future , the majority of crime will be happening online .
H-6649	in the future , most crime will play online .

S-290	und die frage ist , sind das gute oder schlechte nachrichten ?
T-290	and the question is , is this good news , or bad news ?
H-290	and the question is , are that good or bad news ?

S-387	sie wissen es nichts möglich in diesem goldfischglas . &quot;
T-387	you know , nothing is possible in this fishbowl . &quot;
H-387	you don &apos;t know anything possible in this goldfish glass . &quot;

S-1130	ich werde auch gleich auflösen , was da drin ist .
T-1130	i &apos;ll be revealing what &apos;s inside of it in a moment .
H-1130	i &apos;m also going to resolve , what &apos;s in there .

S-1137	ein forschungssemester zum thema natural user interface design .
T-1137	a research semester on the topic natural user interface design .
H-1137	a research semester on natural user interface interface design .

S-2185	er sagte : &quot; fisch ? ich weiß nichts über fisch .
T-2185	he said , &quot; fish ? i didn &apos;t know anything about fish .
H-2185	he said , &quot; fish ? i don &apos;t know about fish .

S-2588	das ist nicht unmöglich , aber es ist nicht so leicht .
T-2588	it &apos;s not impossible , but it &apos;s not a very easy thing .
H-2588	it &apos;s not impossible , but it &apos;s not that easy .

S-3024	ich werde ihn für sie ausführen und ihn dann erklären .
T-3024	i &apos;ll do it for you , and then i &apos;ll explain it .
H-3024	i &apos;m going to do it for you and then explain it .

S-3341	dieses konstante feedback gibt es nicht im wahren leben .
T-3341	we don &apos;t get that kind of constant feedback in real life .
H-3341	this constant feedback is not in real life .

S-4079	man muss nicht viel geld ausgeben , um toll auszusehen .
T-4079	you do not have to spend a lot of money to look great .
H-4079	you don &apos;t have to spend a lot of money to look great .

S-4682	wir haben also nicht so ein budget wie andere marken .
T-4682	so we don &apos;t have the budgets that other brands have .
H-4682	so we don &apos;t have as one budget as other brands .

S-4744	welche weiteren metamorphosen haben sie durchlaufen ?
T-4744	what are some other metamorphoses that you &apos;ve had ?
H-4744	what other metamorphosis do you go through ?

S-4823	man geht also einfach zu googleartproject.com .
T-4823	so , simple : you come to googleartproject.com .
H-4823	so you just go to google tproject.com .

S-5476	wir wissen noch eins , wo alle tankstellen liegen .
T-5476	the other thing is we know where all the gas stations are .
H-5476	we know another thing where all the gas stations are .

S-5484	der nächste schritt war , die apps dafür zu finden .
T-5484	the next step we took was to find the applications for it .
H-5484	the next step was to find the apps .

S-5841	hier steht : &quot; leg deine finger auf jedes licht . &quot;
T-5841	so it says , &quot; place your fingers upon each light . &quot;
H-5841	it says , &quot; put your fingers on up on every light . &quot;

S-6175	ich glaube , das ist es , was wir ändern müssen .
T-6175	and i think that &apos;s the orientation that we have to change .
H-6175	i think that &apos;s what we need to change .

S-6226	die wachstumsrate selbst beschleunigt sich also .
T-6226	the rate at which the technology is getting faster is itself getting faster .
H-6226	so the growth rate itself is accelerating .

S-6475	in beiden fällen wurde operierte und es ging ihnen gut .
T-6475	in both cases , they had their operations and they did okay .
H-6475	in both cases , the surgery , and it was good for them .

S-6513	sie wollen ihre geschichten erzählen . sie wollen ihre geschichten teilen .
T-6513	they want to tell their stories . they want to share their stories .
H-6513	they want to tell their stories . they want to share their stories .

S-195	viele von ihnen sind von gesichtern verdeckt usw .
T-195	so many of them are occluded by faces , and so on .
H-195	many of you are covered by faces faces , and so on .

S-1474	nein , das wegwerfen ist genau das richtige , ja ?
T-1474	no , throwing away is exactly the right thing to do , right ?
H-1474	no , throwing away is exactly the right thing , right ?

S-2401	das ist die wahrheit . das studio wusste das aber nicht .
T-2401	and that &apos;s the truth . now , the studio didn &apos;t know that .
H-2401	that &apos;s the truth . the studio didn &apos;t know that .

S-3103	das ist mein fleisch , und ich kann das herumdrehen .
T-3103	that &apos;s my flesh , and i can twist that around .
H-3103	this is my meat , and i can turn this around .

S-4712	ich verkaufe schmusetiere im ganzen land , weltweit .
T-4712	i sell pet toys all over the country , all over the world .
H-4712	i sell smuseum all over the country , worldwide .

S-4925	und sie können diesen grünen punkt dort in der mitte sehen .
T-4925	and you can sort of see this green dot right in the middle .
H-4925	and you can see this green dot there in the middle .

S-6533	die erste geschichte handelt von charles darwin , einem meiner helden .
T-6533	and the first story is about charles darwin , one of my heroes .
H-6533	the first story is about charles darwin , one of my heroes .

S-6661	nun , wie sterben leute in folge eines solchen hacks ?
T-6661	so how do people die as the result of a hack like this ?
H-6661	now , how do people die in such a hack ?

S-1104	das sind räume , die intelligent auf einen menschen reagieren können .
T-1104	those are spaces that are able to react to a human intelligently .
H-1104	these are spaces that can react intelligent to a human .

S-1337	darum eben von der wiege zur wiege zu denken .
T-1337	that &apos;s why we need to think from cradle to cradle .
H-1337	that &apos;s why thinking about the weigh to the weigh .

S-2592	ein &quot; manhattan projekt &quot; ? wie kommen wir ans ziel ?
T-2592	is it a manhattan project ? what &apos;s the thing that can get us there ?
H-2592	a manhattan project ? how do we get there ?

S-2751	1m ist das höchste , was ich gesehen habe .
T-2751	thirty-nine inches is the tallest structure i &apos;ve seen .
H-2751	1m is the highest thing i &apos;ve seen .

S-3028	ich werde das messer einfach so in meiner faust halten .
T-3028	i &apos;m just going to hold the knife in my fist like this .
H-3028	i &apos;m just going to hold the knife like this in my laast .

S-3186	so funktioniert das überhaupt nicht für das erinnernde selbst .
T-3186	that &apos;s not the way it works at all for the remembering self .
H-3186	that &apos;s how it doesn &apos;t work for the reminder itself .

S-3902	also viel testosteron , aber keine reaktion darauf .
T-3902	so lots of levels of testosterone , but no reaction to it .
H-3902	so a lot of testosterone , but no reaction response to that .

S-6476	beide fälle nagten an mir , fraßen mich auf .
T-6476	but each time , they were gnawing at me , eating at me .
H-6476	both cases came to me , asked me .

S-1616	ich kann heute nicht so spielen wie in zwanzig jahren .
T-1616	i won &apos;t be able to play like i do today in twenty years .
H-1616	i can &apos;t play today as i in 20 years .

S-1830	das ist übrigens der schwierigste teil in meinem vortrag .
T-1830	you &apos;ll need some logic here , but also the willingness to lie .
H-1830	this , by the way , the hardest part in my talk .

S-1852	also wenn klaus sagt , es gibt keine seele .
T-1852	secondly , if he &apos;s right , then he doesn &apos;t have a soul .
H-1852	so if the clade says , , there &apos;s no soul .

S-2416	ich war regelrecht besessen vom erforschen der tiefsee .
T-2416	and so , i really got bitten by the bug of deep-ocean exploration .
H-2416	i was quite obsessed with exploring the deep sea .

S-2619	viele sprechen von einer 80 % reduktion bis 2050 .
T-2619	for 2050 , you &apos;ve heard many people talk about this 80 percent reduction .
H-2619	many talk about an 80 percent reduction by 2050 .

S-5939	wir alberten dort nur so herum wie sonst auch .
T-5939	and we were kind of just out there doing the stuff we crazily did .
H-5939	we just silent around there as we else .

S-6506	ich bin kein roboter ; ich mache dinge nicht immer gleich .
T-6506	i &apos;m not a robot ; i don &apos;t do things the same way each time .
H-6506	i &apos;m not a robot ; i don &apos;t always do the same .

S-6591	genau das ist jetzt weitestgehend unser ziel .
T-6591	and that , to a large extent , is what we want to do now .
H-6591	that &apos;s exactly what our goal now .

S-709	wenn wir anfangen , so darüber nachdenken , ändert das alles .
T-709	and , you know , if we think about it this way it starts to change everything .
H-709	when we start about it that , it changes everything .

S-2375	als kind zeichnete ich ständig comicbücher und so .
T-2375	and i was , as a kid , constantly drawing comic books , and so on .
H-2375	as a child , i was drawing comic books all all the time and so forth .

S-2450	im laufe dieser entdeckungsreise habe ich eine menge gelernt .
T-2450	and you know , along the way in this journey of discovery , i learned a lot .
H-2450	in the course of this journey of discovery , i &apos;ve learned a lot .

S-4868	das ist sternennacht , wohl niemals zuvor so gesehen .
T-4868	this is &quot; the starry night , &quot; i think , never seen like this before .
H-4868	this is star night , probably never seen this before .

S-412	unsere schritte bei der digitalisierung des lebens waren exponentiell .
T-412	so , our pace of digitizing life has been increasing at an exponential pace .
H-412	our steps in the digitization of the life were exponential .

S-1101	ein anderes beispiel ist die so genannte virtuelle realität .
T-1101	so if you think of the google glasses for example , then that &apos;s one of those concepts that allows us to combine the virtual world with the real world again , and so that means our affinity for virtualisation , of experiencing the virtual as something normal and natural , is being addressed again .
H-1101	another example is what we called virtual reality .

S-1087	wir haben eine abstrakte eine abstraktahierte sprache .
T-1087	we no longer produce .
H-1087	we have an abstract an abstract language .

S-4718	anwalt : ich bin eine anwaltsmarke .
T-4718	i &apos;m a lawyer brand .
H-4718	lawyer t : i &apos;m a lawbrand .

S-521	es ist einfach nur atemberaubend ehrgeizig .
T-521	it &apos;s nothing if not ambitious .
H-521	it &apos;s just breathtaking ambitious .

S-2709	für die unteren zwei milliarden aber ist es ein desaster .
T-2709	the disaster is for that two billion .
H-2709	for the bottom two billion , but it , it &apos;s a disaster .

S-1188	und natürlich auch , wie nimmt gestaltung einfluss auf die wahrnehmung .
T-1188	and of course how design affects perception .
H-1188	and of course , how does design take impact on perception .

S-1252	also wie geht ein mensch mit gewissen dingen entsprechend um .
T-1252	so how do humans deal with certain objects .
H-1252	so how does a human deal with certain things ?

S-1425	das heißt , damit gehen die verbrechensraten zurück .
T-1425	that means the rate of crime goes down .
H-1425	that means the criminal rates go back .

S-1627	da schmunzelte er und meinte , so ?
T-1627	he smiled and said , oh ?
H-1627	then he was screoting , and he said , like that ?

S-2866	ich meine , wissen sie , sie können ihre eigene liste wählen .
T-2866	you know , you can choose your list .
H-2866	i mean , you know , you can choose your own list .

S-4575	ich habe in einem kohlebergwerk gearbeitet -- gefährlich .
T-4575	i worked in a coal mine -- dangerous .
H-4575	i &apos;ve been working in a coal-mining -- work -- dangerous .

S-5387	ich bin hier , um meine fotografie mit ihnen zu teilen .
T-5387	i &apos;m here to share my photography .
H-5387	i &apos;m here to share my photography .

S-5499	... es dem crowdsourcing beachtung schenkt .
T-5499	... paying attention to crowd-sourcing .
H-5499	... it to crowdsourcing it .

S-5736	sie konnte innerhalb eines zeitlichen lernrahmens stattfinden .
T-5736	it could happen in learning time scales .
H-5736	it could happen within a time learning learning work .

S-6037	und dennoch gibt es da diese mentale abkopplung .
T-6037	and yet , there is this disconnect .
H-6037	and yet , there &apos;s this mental copying .

S-6422	sie schlossen sie an die beatmungsmaschine an .
T-6422	they put her on a ventilator .
H-6422	they put them them to the machine .

S-6426	sie hatte einen nicht behandelbaren gehirnschaden erlitten .
T-6426	she had irreversible brain damage .
H-6426	she had suffered a non-treatable brain damage .

S-770	trotzdessen gibt es eine politische auseinandersetzung in unserem land .
T-770	however there is a political battle in our country .
H-770	defe, there &apos;s a political argument in our country .

S-1072	passiert ist das das so gennante maschinenzeitalter .
T-1072	what happened is the the so-called machine age .
H-1072	this is what is such a gene machine age .

S-1170	so wie es früher eben entsprechend auf dem dorf passierte .
T-1170	just like it used to happen in the village .
H-1170	as it used to happen according on the village .

S-1468	alles , was im leben schön ist , ist nicht effizient .
T-1468	everything that &apos;s nice in life is not efficient .
H-1468	everything that beautiful in life is not efficient .

S-2133	ich sagte : &quot; hühnchen-pellets ? &quot;
T-2133	i said , &quot; chicken pellets ? &quot;
H-2133	i said , &quot; chicken pellets ? &quot;

S-2868	stellen sie fragen , verlangen sie beweise , verlangen sie belege .
T-2868	ask questions , demand proof , demand evidence .
H-2868	ask questions , ask the evidence , you ask the evidence .

S-3094	ich weiß , was die leute denken , wenn sie das sehen .
T-3094	i know what people think when they see this .
H-3094	i know what people think when they see that .

S-3375	ok , stellen sie sich das wie extreme selbstmotivierung vor .
T-3375	ok , think of this as extreme self-motivation .
H-3375	ok , imagine that extreme self-motivation .

S-4170	aber wir wissen nur wenig darüber , wo die sachen hingehen .
T-4170	but we know very little about where things go .
H-4170	but we just know very little about where things go .

S-4966	da ist noch mehr dahinter , es geht noch tiefer .
T-4966	it &apos;s more than that ; it &apos;s deeper .
H-4966	there &apos;s even more behind it , it &apos;s deeper .

S-5883	dies ist wirklich eine außerordentliche ehre für mich .
T-5883	well this is a really extraordinary honor for me .
H-5883	this is really an extraordinary honor .

S-6169	es war der fehlgeleitete kreuzzug gegen drogen .
T-6169	it was this misguided war on drugs .
H-6169	it was the misguided cross-train against the drugs .

S-6234	es geht darum , die nuancen der sprache zu verstehen .
T-6234	it &apos;s about the nuance of human language .
H-6234	it &apos;s about understanding the nuances of language .

S-6560	und der fisch hatte auch das glück , noch da zu sein .
T-6560	and the fish also were happy to be there .
H-6560	and the fish was also lucky to be able to be there .

S-12	die ethnosphäre ist das großartige vermächtnis der menschheit .
T-12	the ethnosphere is humanity &apos;s great legacy .
H-12	the ethnosphere is the great legacy of humanity .

S-168	oder andere modelle , oder sogar technische spezifikationen .
T-168	or other models , or even technical specifications .
H-168	or other models , or even technical specifications .

S-506	das ist ein organismus den wir 1996 beschrieben haben .
T-506	this is an organism we described in 1996 .
H-506	this is an organism that we &apos;ve described in 1996 .

S-780	frosty , der kohlenmann wird jeden tag sauberer .
T-780	frosty the coal man is getting cleaner everyday .
H-780	frosty , the carbon will clean every day .

S-812	versorge amerika neu . es ist zeit , realität zu akzeptieren .
T-812	repower america . it &apos;s time to get real .
H-812	new america . it &apos;s time to accept reality .

S-814	wenn du weit kommen möchtest , geh zusammen . &quot;
T-814	if you want to go far , go together . &quot;
H-814	if you want to get far , go together . &quot;

S-1221	da passiert genau das gleiche , was ich eben beschrieben habe .
T-1221	the same thing that i just described is now happening .
H-1221	that &apos;s exactly the same thing that i just described .

S-1375	haben sie schon einmal einen klimaneutralen baum gesehen ?
T-1375	have you ever seen a climate neutral tree ?
H-1375	have you ever seen a cliclimaneueutraal tree ?

S-1495	denn wissen sie , das ist ein lustvoller vorgang .
T-1495	that &apos;s a funny occurrence , you know .
H-1495	because , you know , this &apos;s funny process .

S-2177	ich war dort vor gar nicht langer zeit mit miguel .
T-2177	i was there not long ago with miguel .
H-2177	i wasn &apos;t there a long time ago with miguel .

S-2408	das war kein film , kein hd , das war echt .
T-2408	not a movie , not hd -- for real .
H-2408	this was not a movie , no hd , that was real .

S-2497	tatsächlich basiert die fortschrittsgesellschaft auf energiefortschritten .
T-2497	really advanced civilization is based on advances in energy .
H-2497	in fact , the progression is based on energy progress .

S-2944	das ist super . ich liebe die placebo-industrie .
T-2944	that &apos;s fantastic . i love big placebo .
H-2944	that &apos;s great . i love the placebo industry .

S-2960	es ist eine debatte über wörter , über metaphern .
T-2960	it &apos;s a debate about words , about metaphors .
H-2960	it &apos;s a debate about words , it &apos;s about metaphors .

S-3012	wir können diese zeitmaschine auf alles stellen , was wir wollen .
T-3012	we can set that time machine on anything we want .
H-3012	we can put this time machine on everything we want .

S-3025	und dann werde ich erklären , warum ich ihn erkläre .
T-3025	and then i &apos;ll explain why i explained it .
H-3025	and then i &apos;m going to explain why i explain it .

S-3767	und das ist in der tat eine konservative schätzung .
T-3767	and that &apos;s actually a conservative estimate .
H-3767	and that &apos;s actually a conservative estimate .

S-4207	aber eigentlich war es in dieser nacht ein noch größerer spaß .
T-4207	but actually that night , it was even more fun .
H-4207	but actually , that night , it was even bigger fun .

S-4538	die idee ist , ein digitales sicherheitssystem zu überlisten .
T-4538	the idea is to circumvent a digital safety system .
H-4538	the idea is to list a digital security system .

S-4828	click , und wumms , ist man im diesem museum .
T-4828	click and , bang , you &apos;re in this museum .
H-4828	moment and whum , you &apos;re in this museum .

S-5138	denn die bilder liessen es für sie realer empfinden .
T-5138	because the pictures made it feel more real to you .
H-5138	because the images made it feel real for them .

S-5419	es geht wirklich nur darum , verschiedene realitäten zu kombinieren .
T-5419	it &apos;s just really about combining different realities .
H-5419	it &apos;s really about combining different realities .

S-5424	kombiniert aber können sie etwas besonderes wie das hier kreieren .
T-5424	but combined , they can create something like this .
H-5424	but if you can create something special like this .

S-5500	hier ist ein kurzes video über das , was wir tun .
T-5500	it &apos;s just a quick video of what we do .
H-5500	here &apos;s a quick video about what we do .

S-5589	beutelratte ? ja . lebendig ? yap .
T-5589	opossum ? check . living ? yep .
H-5589	thylines ? yes . alive ? yap ? yap .

S-5759	wir sehen den prozess , der sich von sich selbst ernährt .
T-5759	we &apos;re seeing this process feeding back on itself .
H-5759	we see the process that feds from itself .

S-6224	sie verlangsamt sich für keines unserer großen probleme .
T-6224	it doesn &apos;t slow for any of our grand challenges .
H-6224	it doesn &apos;t slow down for any of our big problems .

S-6268	er nahm ein berühmtes foto auf . wie hieß es ?
T-6268	he took a famous photo . what was it called ?
H-6268	he took a famous photograph . what was it mean ?

S-6301	was werden sie konsumieren ? was werden sie begehren ?
T-6301	what will they consume ? what will they desire ?
H-6301	what are you going to me ? what are going to honor ?

S-6602	nun , weil sie nicht wissen , dass es einmal anders war .
T-6602	well because they don &apos;t know that it was different .
H-6602	well , because they don &apos;t know it was once different .

S-6662	diginotar ist eine zertifizierungsstelle .
T-6662	well diginotar is a c.a .
H-6662	diginotar is a certification .

S-6700	es wurde der &quot; automatisch verbindende stein &quot; genannt .
T-6700	it was called the automatic binding brick .
H-6700	it was called the &quot; automatically comment stone stone . &quot;

S-187	wir mussten uns wegen der anwälte usw. sorgen machen .
T-187	we had to worry about the lawyers and so on .
H-187	we had to worry about the lawyers and the lawyers and so on .

S-528	es verursachte immensen jubel im kontrollraum .
T-528	it caused immense celebration in the control room .
H-528	it caused jeice in the control space .

S-625	es ist wie jemanden zu bitten , die sonne zu schlucken .
T-625	it &apos;s like asking somebody to swallow the sun .
H-625	it &apos;s like asking somebody to beat the sun .

S-732	in 25 jahren wird es von hier nach hier verschwunden sein .
T-732	in 25 years it &apos;s gone from this , to this .
H-732	in 25 years , it will have gone from here to here .

S-994	das ist schon eine relativ beachtliche anzahl von leuten weltweit .
T-994	there &apos;s already a rather impressive number of people worldwide .
H-994	this is already a remarkable number of people around the world .

S-997	also ich weiß von einigen , die sich nicht eingetragen haben .
T-997	i know of some people who haven &apos;t registered .
H-997	so i know about some who didn &apos;t put in .

S-1348	ein ein baby braucht etwa sechstausend windeln .
T-1348	one a baby needs about six-thousand nappies .
H-1348	a baby needs about six thousand wind .

S-1526	hey , puma , macht seid ihr wirklich ernsthaft ?
T-1526	hey , puma , do you are you really serious ?
H-1526	hey , puma , are you really serious ?

S-1640	er hat ja nur neununddreißig jahre gelebt .
T-1640	he only lived until the age of thirty-nine .
H-1640	he &apos;s lived in ninninyears , 30 years .

S-1668	das musikinstrument ist nämlich die erweiterung unseres körpers .
T-1668	the music instrument is an extension of our own body .
H-1668	because the musical instrument is the extension the extension of our bodies .

S-1917	allerdings war das in den achtiziger jahren nicht so .
T-1917	but it wasn &apos;t like that in the eighties .
H-1917	however , it wasn , in the ag0s , it wasn &apos;t like that .

S-1973	und haben dann eine ganze menge von simulationen angestellt .
T-1973	and then we tried out a whole load of simulations .
H-1973	and then did a whole lot of simulations .

S-2079	und so entflieht er seinen quälenden zuständen .
T-2079	and that is an escape from his tormented state .
H-2079	and so he &apos;s ws out of his agonizing states .

S-2218	die garnelen fressen den phytoplankton .
T-2218	the shrimp eat the phytoplankton .
H-2218	the shrimp eat the phytoplankton .

S-2234	es ist dieser beißende , verkohlte geschmack .
T-2234	it &apos;s that acrid , tar-like flavor .
H-2234	it &apos;s this fun , cooked taste .

S-2239	er sagte : &quot; die haut wirkt wie ein schwamm .
T-2239	he said , &quot; the skin acts like a sponge .
H-2239	he said , &quot; skin works like a sponge .

S-2267	das ist kein gewerbe , und es ist nicht landwirtschaft .
T-2267	that &apos;s not a business , and it isn &apos;t agriculture .
H-2267	this is not a commercial yer , and it &apos;s not agriculture .

S-2304	also gehe ich einen schritt zurück und erweitere die sichtweise .
T-2304	so i can step back , and expand on that .
H-2304	so i &apos;m going to step back , and i &apos;m going to get the view .

S-2403	wir werden es in der eröffnungssequenz des films zeigen .
T-2403	we &apos;ll be using it in the opening of the film .
H-2403	we &apos;re going to show it in the opening sequence of the film .

S-2418	und es war eine erfahrung , die mir hollywood nicht geben konnte .
T-2418	and it was an experience that hollywood couldn &apos;t give me .
H-2418	and it was an experience that couldn &apos;t give me hollywood .

S-2496	nun , der energiepreis ist über die zeit gefallen .
T-2496	now , the price of energy has come down over time .
H-2496	now , the energy eprice has fallen over time .

S-2668	dies ist eine variante einer sache , die gemacht wurde .
T-2668	this is a variant on something that has been done .
